"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.22,0.059797,-0.17962,8.1679,-0.03929,-0.037911
0.22,0.11963,-0.29932,8.0959,0.0054888,-0.018077
0.22,0.17962,-0.32944,8.0776,0.0081428,-0.01458
0.22,0.14965,-0.32942,8.0819,0.0067899,-0.015728
0.22,0.059965,-0.16538,8.1777,-0.047732,-0.057145
0.22,0.061455,-0.15311,8.1958,-0.06245,-0.10414
0.22,0.074825,-0.13487,8.1742,0.055043,-0.15219
0.22,0.075204,-0.12042,8.0467,0.20082,-0.21705
0.22,0.090626,-0.10562,8.0213,0.18399,0.093419
0.22,0.10571,-0.090532,8.1472,-0.0015513,0.19459
0.22,0.12045,-0.075152,8.1775,-0.047605,0.12304
0.22,0.13639,-0.060284,8.1814,-0.070446,0.090591
0.22,0.15696,-0.05066,8.1836,-0.082347,0.051586
0.22,0.2096,-0.32948,8.0731,0.008981,-0.013307
0.22,0.23953,-0.29947,8.0748,0.010704,-0.012581
0.22,0.26948,-0.26949,8.0754,0.011968,-0.011302
0.22,0.29946,-0.23954,8.0749,0.012609,-0.0097499
0.22,0.32947,-0.20961,8.0733,0.012681,-0.0081734
0.22,0.35951,-0.17969,8.0708,0.012266,-0.0067175
0.22,0.26943,-8.1449e-07,8.1204,0.008417,-0.0065505
0.22,0.2395,2.5522e-06,8.1423,-3.3173e-05,-0.012034
0.22,0.29941,-0.029908,8.1053,0.010936,-0.0036137
0.22,0.20966,7.3093e-06,8.151,-0.0047634,-0.015277
0.22,0.23851,0.00071833,8.1425,9.57e-05,-0.01238
0.22,0.23878,2.671e-06,8.1425,-0.00014256,-0.012121
0.22,0.21009,0.00071083,8.1507,-0.004146,-0.01541
0.22,0.20963,-0.014965,8.1519,-0.012077,-0.010136
0.22,0.1947,-0.014984,8.1669,-0.034631,-0.012758
0.22,0.1948,8.0217e-06,8.1679,-0.03084,-0.024464
0.22,0.32943,-0.059842,8.0922,0.013325,-0.0034301
